Instance;GeoSteiner;Branch;Smith_Fixed;Smith_Star;Smith
cube_n11_d2_s44;0,0000;0,0000;0,0000;0,0000;0,0277
cube_n11_d2_s45;0,0000;0,0000;0,0000;0,0000;0,0027
cube_n11_d2_s46;0,0000;0,0000;0,0000;0,0000;0,0000
cube_n11_d2_s47;0,0000;0,0000;0,0000;0,0000;0,0000
cube_n11_d2_s48;0,0000;0,0000;0,0000;0,0000;0,0553
cube_n11_d2_s49;0,0000;0,0001;0,0000;0,0000;0,0048
cube_n11_d2_s4;0,0000;0,0000;0,0000;0,0000;0,0888
cube_n11_d2_s50;0,0000;0,0000;0,0000;0,0000;0,0000
cube_n11_d2_s5;0,0000;0,0000;0,0000;0,0000;0,0587
cube_n11_d2_s6;0,0000;0,0000;0,0000;0,0000;0,0000
cube_n11_d2_s7;0,0000;0,0000;0,0000;0,0000;0,0000
cube_n11_d2_s8;0,0000;0,0000;0,0000;0,0000;0,0000
cube_n11_d2_s9;0,0000;0,0000;0,0000;0,0000;0,0057
cube_n12_d2_s10;0,0000;0,0000;0,0000;0,0000;0,0000
cube_n12_d2_s11;0,0000;0,0000;0,0000;0,0000;0,0003
cube_n12_d2_s12;0,0000;0,0000;0,0000;0,0000;0,0000
cube_n12_d2_s13;0,0000;0,0000;0,0000;0,0000;0,0000
cube_n12_d2_s14;0,0000;0,0000;0,0000;0,0000;0,0441
cube_n12_d2_s15;0,0000;0,0000;0,0000;0,0000;0,0288
cube_n12_d2_s16;0,0000;0,0000;0,0000;0,0000;0,0512
cube_n12_d2_s17;0,0000;0,0000;0,0000;0,0000;0,0007
cube_n12_d2_s18;0,0000;0,0000;0,0000;0,0000;0,1283
cube_n12_d2_s19;0,0000;0,0000;0,0000;0,0000;0,0593
cube_n12_d2_s1;0,0000;0,0000;0,0000;0,0000;0,0000
cube_n12_d2_s20;0,0000;0,0000;0,0000;0,0000;0,0000
cube_n12_d2_s21;0,0000;0,0000;0,0000;0,0000;0,0131
cube_n12_d2_s22;0,0000;0,0000;0,0000;0,0000;0,0248
cube_n12_d2_s23;0,0000;0,0000;0,0000;0,0000;0,0000
cube_n12_d2_s24;0,0000;0,0000;0,0000;0,0000;0,0777
cube_n12_d2_s25;0,0000;0,0000;0,0000;0,0000;0,0000
cube_n12_d2_s26;0,0000;0,0000;0,0000;0,0000;-1,7579
